tag	consumer_complaint_narrative
complaint	You would expect that an online service costing 7.00 Euros a month would justify a decent application on the PC alone, if not on all platforms!
complaint	Sauna was also not working.
complaint	Probably the worst banking app ever made, It's slow, its ugly and its barely functional when it does decide to open up and load (Especially the transactions not being in order at all) An absolute joke.
comment	The hotel was so clean and amazing decor.
complaint	Air con didn't work in room.
comment	The rooms are a good size with great bathrooms and a small balcony too.
complaint	Not as lush as some hotels in Bali.
comment	The location of Le Meridien Nice is fantastic and very central.
comment	A classic, luxurious hotel in an excellent location with very attentive & friendly staff.
complaint	I'm giving it another week and if it's not improved I'm ditching IG.
comment	This is Amazing software for graphics and photo editing.
comment	Very pleasant personnel.
complaint	Lobby/bar was very sober.
comment	This was my wife and my favorite hotel experience in Paris.
meaningless	My husband and I stayed here last night.
comment	Saw advertisements through an Internet travel booking site for hotel and zoo tickets in a package deal.
comment	The hotel is conveniently located to some of the best walking areas of Nice.
complaint	The bathroom was old and unclean, the daughters bathroom stank of sewrage and the shower was faulty.
complaint	Maintenance in general was poor with a lot of small things broken e.g. bar stool which was left at the counter, chain on sink stopper in my bathroom and repairs were needed in the vitality suite.
meaningless	When I want to quit a program I want to quit, simple as that.
complaint	it is fast, but the controls are lousy, plus it keeps installing on my desktop shortcuts to place I don't want.
comment	Everything is very modern and trendy, including the set up of the room with the shower and the bed speared by a glass wall.
complaint	Do they actually test these updates first or just put them out and hope for the best they work....
comment	Gabriel House Guest House is located close to the city centre in Cork City but far enough that it is quiet and restful.
undetermined	UPDATED REVIEW Well i was assured by customer service on my last review that i had nothing to worry about.
comment	I was able to go out for a run in the mornings around the Louvre and the Seine river which was great.
complaint	Reception staff weren't very welcoming!
comment	The terrace restaurant had great food and a spectacular view!
comment	Thanks for ones marvelous posting!
comment	Good breakfast.
comment	it is awesome
comment	No one else can convey the experience of playing this game to you through mere words.
comment	The breakfast was excellent with such a wide variety of choice.
comment	First trip to Paris was decent by staying here.
meaningless	WHY?
comment	A very central hotel that deserves its stars,
comment	Hey, nice review.
comment	This Demo is Reasonable, but you can get tired of it in at least two days of gameplay.
complaint	This Demo is Reasonable, but you can get tired of it in at least two days of gameplay.
comment	The service is fantastic - with amazing attention to detail.
comment	Half my group were served and remainder weren't as just after 0300
comment	The only thing that wasn't that perfect was the internet connection.
complaint	The only thing that wasn't that perfect was the internet connection.
comment	It was a really good app.
comment	Marvelous location very convenient
comment	I highly praise him and recommend it
comment	You have only to paste the video url and press the download button.
meaningless	with many levels
complaint	All offered drinks and food at the restaurants and bars are too expensive.
comment	Near some of our favourite eating places.
comment	Free wifi.
comment	Also the check-in guy gave us a fabulous restaurant recommendation in town, Elbow Lane.
comment	We chose this hotel without recommendation and through an internet search.
comment	Damn, its too slow!!!
comment	its effect colors many of his pihilahan
complaint	A lot of the time my purchase won't show up.
bug	A lot of the time my purchase won't show up.
complaint	This time hotel very noisy with people slamming doors and shouting down corridors late at night - didn't sleep which defeats purpose of staying near for early flight in morning...
complaint	* Inaccurate output picture.
comment	Excellent!!
comment	more helpful and easy to learn.
complaint	bathroom sliding door quite heavy to move
complaint	The thing that I find a lot faulty is that I archived a few of my photos.
comment	I have never had an experience at a hotel like this (and we travel and stay in hotels upwards of 10x a year).
comment	very nice job!
complaint	Limited TV channels
complaint	Ridiculous please fix it.
comment	All you can do in this is feed, click train button, and battle without controlling the magikarp.
complaint	very filthy hotel bad staff all around ..
comment	I enjoy converting my favorite songs to unique iPhone ringtone with this ringtone maker.
meaningless	But that's just me.
comment	Intuitive and best of all, it's FREE!
complaint	This app was great but I now rarely see any photos I want to because of the new timeline setup.
comment	The hotel is in a great location.
complaint	data seems all garbled up.
comment	The spa was an added treat.
bug	I only see the notification if I catch it live (right when it pops up and notifies me outside of FB). But otherwise, I see that I have notifications, but I can't actually view them.
comment	Otherwise very cute game, I feel attached to my magikarp and love to see them grow.
comment	The items are high quality, the majority of my items have been free with $1-4 shipping.
comment	La Tamise is a small hotel yards from the Tuilleries Gardens.
complaint	Why does evrything need all these gifs, stories and whatever else 12 year olds are into these days?
complaint	I do not like it.
comment	Highly recommend.
complaint	I'm left having to use the web browser version.
comment	We recieved a letter/note welcoming us and wishing us well for our honeymoon but no macarons (I guess I have a sweet tooth so I did mourn the lack of these in our room!).
complaint	We recieved a letter/note welcoming us and wishing us well for our honeymoon but no macarons (I guess I have a sweet tooth so I did mourn the lack of these in our room!).
complaint	very dull.
comment	Hotel is located in a great location as far as safety and is within walking distance to a lot of great shopping and sites to see.
complaint	6 lines of text on a 2560 pixel high screen.
complaint	The check in reception area was chaotic!
complaint	Had a very bad night's sleep.
complaint	Just junk.
complaint	Firstly, I'm not able to put up text on my story.
comment	The layout was primarily user friendly, simplistic, and easy to navigate.
comment	We came to Barcelona for 3 days just before Christmas and we couldn't have chosen anywhere more idyllic to stay.
comment	Skype Team, I hope you read this review I have made for you, as well as taking account of my issues and my recommendation I provided for you to hopefully utilize sooner.
comment	No noise.
comment	Breakfast room is not as nice as the rest of the hotel
complaint	Breakfast room is not as nice as the rest of the hotel
complaint	The pool was packed with about 20 kids, so my family was not able to enjoy that part.
complaint	Breakfast Restaurant is too big to enjoy a relaxed breakfast, coffee always arrived late due to number of people in one spot, food set up in 6 different locations was tiring to find what you are looking for...
complaint	Doesn't have Chromecast support.
comment	Doesn't have Chromecast support.
comment	Drury is not a luxury brand but the rooms are clean and spacious, the beds are comfortable and the shower head is great.
comment	Come and claim your Free Prizes too
complaint	The app really has to be optimised before a whole new version is released and microsoft needs to stop treating its users like beta testers.
comment	Okay location
comment	The staff was very helpful and the rooms were amazing.
bug	When I type the typing area should slide above my keyboard but it doesn't.
comment	You'll love it the second you walk in.
comment	Comfortable accommodation tended by helpful and friendly staff.
comment	* Few minutes & a few clicks to install
request	In addition, there should be some spa packages.
meaningless	works well,I can easily get my
comment	Totally recommend ...
comment	Perfectly positioned hotel with wonderful, helpful staff.
comment	My advice: stop your search and find a way to stay at the Four Seasons George V.
comment	The choice between being evil or good is very well done.
comment	Would recommend to anyone.
comment	The room was charmingly decorated and spacious.
complaint	EXTREMELY POOR FOCUSING, ESPECIALLLY ON CLOSE-UP VIEWING OF STREETS AND HOUSING.
comment	i am very happy to listn about this sofware my frend was tell me its working very well
complaint	I don't understand what the problem is with the "disconnected", but I've tried multiple ways to resolve with no luck.
comment	There is a good selection of local vendors mixed with high end boutiques.
comment	Team is so nice and friendly .
complaint	WHY should we suffer that? was my and my husband's question to the manager, who by the way spent an hour to find 5 minutes to talk to us.
comment	My husband and I stayed 3 nights over the weekend at this lovely hotel.
comment	So I just wanted to say, thanks PARTNER
comment	Skype is NOT instagram, it's NOT Facebook, It's NOT supposed ro be anyrhing else but Skype.
complaint	so much for virus free!
comment	(A square border frame appear on the output image)
comment	The Narcisse Blanc is a new 5 star hotel just a few steps from the Invalides.
complaint	For someone like me who makes a living from Instagram it is very disappointing to see my growth stunted to this degree.
undetermined	When last time, you could just upload a picture off of the interwebz.
comment	Great location for walking distance attractions, the hotel is in front of a park that at night during the weekend has food, clothing, music, souvenirs.
bug	I ran it, and promptly got driver problems with a failure to resume from sleep and hibernation etc.
meaningless	Why can't they ever talk to each other!!!???
comment	this tish app very useful ..
bug	Still calls keep dropping with the new updates
meaningless	While I was working on Flash Player 9, programs, games etc.
comment	Fortunately I managed to leave an elevator.
comment	The rooms are not big but the space is well apportioned and the beds are really comfortable.
comment	(1 time later) I would recommend this app.
complaint	For a bank of this reputation I would expect they put more money and effort into the development into their customers mobile banking app.
comment	I have a Samsung Netbook NC10 Plus with Windows 7.
comment	A really nice hotel where everyone and everything is just right.
complaint	Likewise, we requested for early check in since we arrived around 8am however, rooms were only available around 3pm so we had to wait.
comment	good war game!
comment	The property was going through some renovations of which I hope they extend to the rest of the property.
complaint	The internet in our room was not really good at all - if we needed good internet we used it in the breakfast dining area..
comment	excellent location and great roof terrace and views from the room.
meaningless	Kept it up .
comment	Used this app all throughout Costa Rica and managed to travel without any pre-resevations and anyways had a beautiful roof over my head.
meaningless	and i find
comment	No mini game or anything like that.
meaningless	Now my arm is in a sling.
complaint	We'd like to thank Sofitel managers for completely silent reaction and ignorance of the guests inconvenience.
request	A recommendation I would make for skype is to have an option to choose between the previous layout and the new layout.
complaint	And now it ignores my 'open links externally' preference for some sites.
meaningless	You have 0 kasalukuyang kabayaran set up for apps on Facebook.
request	Would great if there is a step-free access to the airport terminal which is 3 minutes walk distance from the hotel for wheelchair and family with baby stroller.
comment	Would recommend!
comment	great location to walk to all major sights and shopping.
meaningless	Enjoy the sunshine!!
complaint	Very disappointing!
comment	Many moons ago, before I found this godlike app, I suffered from a rare case of crippling depression.
comment	The bathrooms were superb as were the comfortable beds.
complaint	Room was grubby, mold on windows frames.
comment	I like being able to check in and get my boarding passes.
meaningless	Forget everything you know about airport hotels!
comment	i must play and then tell you about this
comment	Truly cannot ask for much more!
comment	We stayed at this charming hotel for three nights with our three adult daughters.
comment	Breakfast : excellent
comment	My friend recommended me Long Path Tool for fixing this.
comment	good nice and i like it
comment	You can lear this in 5 minutes and get it running.
bug	I just started the free trial today, entered my credit info, and I can't watch anything.
complaint	I just started the free trial today, entered my credit info, and I can't watch anything.
meaningless	hello every body
comment	I have to say that I was not disappointed.
meaningless	i think it is going to cause
comment	on arrival here we were instantly impressed.
comment	The new update is amazing.
request	I think that you should allow me first to read the reviews , then I'll decide about installing it
complaint	What am I paying for TV license for!
comment	Pros •The appearance of Windows 7 is terrific.
comment	The hotel is located in an upmarket area of Barcelona, a bit out of the centre.
meaningless	It was in Port Moresby.
request	There should be a Free Demo Mode :/
bug	So I think the issue is on the app side, since it's force closed after I update it.
comment	Rooftop complimentary drinks and snacks in afternoon / evening - a perfect break before late evening dinner.
meaningless	the simple control
comment	It would be nicer if stuff shipped at reasonable times.
request	It would be nicer if stuff shipped at reasonable times.
comment	It was fantastic!
comment	Such a wonderful experience to stay at this grand hotel.
comment	Overall, this app is really great for sharing social media!
complaint	Also the bathrooms in the lobby didnt hace any mirrors.
complaint	Breakfast was average, limited to availability & under cooked.
request	now I need it on Windows 7 PC
comment	A short walk to Notre Dame and the museums.
complaint	Kiddish modulation effects.
comment	Staff very friendly n helpful
comment	Great hotel and service from check-in to check-out.
comment	I live in UAE and telephone charges are very high her, so i use FreeCall very frequently.
complaint	Small rooms, bed was very uncomfortable.
comment	Another spur of the moment booking as we drove around Ireland, this place was terrific.
comment	My wife and I thoroughly enjoyed our stay.
bug	When I am at my 60th like it tells me about the 45th like, when I am on 100th like, it tells me about the 75th like and so on.
complaint	Any time I try to watch anything live it fails.
comment	It has pretty much retained a style that is competitive and team-oriented, something which other games build on to complexity.
comment	Hotel is in a great location walking distance to many sights.
comment	When I first began using camfrog almost a year ago my first impression was that the program seemed fun to use.
comment	The location is perfect.
comment	installation and usage is so simple that even people with no knowlege about proxy can enjoy security :)
comment	It is perfectly located in the Sixth Arrondissement, with plenty of shops and movie theaters close by.
comment	Little amenities help a lot in a hotel, and 34B has some nice features to improve the stay.
comment	The location is perfect.
comment	It's one of the best stools we can use for ios
complaint	With almost every resort with evening music Sofitel was the only one without!
complaint	They even didn't have an iron available to use.
meaningless	I believe she was named [name].
complaint	Have problems logging in with correct details..
bug	Have problems logging in with correct details..
comment	Skype - catering to 8-year old girls and death metal fans alike!
meaningless	only the weather although it was low season & to be expected.
comment	I only stayed for one night but the room was very comfortable and [name] at the front desk was very friendly.
complaint	My bath had not been cleaned properly when I arrived as there were two brown lines around the top of the bath where somebody had obviously used it before me!
meaningless	Points reduced sigh...
comment	The bar is lovely and comfortable.
complaint	No one told you constant changing users interface is uncomfortable?
comment	nice selection of cars
comment	Good place but not excellent for the brand and price.
complaint	Good place but not excellent for the brand and price.
complaint	the floor had dust all round the edges of the room and the rug had bad stains on it which didn't make us comfortable to walk on without slippers everything in the room was not up to our cleanliness standard.
complaint	Had the feeling that hotel has free parking but turn to be a public park with fees
complaint	Why is the status so deeply hidden into the options?
comment	This downloader is great.
comment	The front desk staff, especially Rafaella, were wonderful - friendly and helpful.
comment	There was nothing not to like, I can't promote this place enough, simply beautiful.
comment	I think this game should be one of the best since I like it so much
comment	There is no requirement to purchase gems, as they are awarded through achievements and randomly throughout gameplay, which is fantastic.
comment	i don't want to block every person on my list.
comment	great game!
comment	I like all of the stuff, I shop online a ton, the prices are great, I loaded up a cart and was excited about all of the great deals I got, but my mom has always taught me that if it seems to good to be true, there is probably a catch.
comment	Lightning fast
complaint	slow wifi
meaningless	I have tried
comment	wicked audio conversion program!!
comment	Front desk service was great, was able to check in early.
complaint	We had a bad experience trying to order breakfast in the restaurant.
comment	My husband and I enjoyed our two night stay here.
comment	We had to stand on a towel.
complaint	Also musty smell.
comment	Staff looked after us and took time to explain about the hotel and to help us get our bearings.
comment	The Adobe Illustrator CS5 is a Very useful Software in Business, Personal, Enterprise, Professional .
comment	I really liked that addon in viber, alongside with Wikipedia and ability to share links directly from app.
meaningless	I pay for the licence every single year, and not even able to.
bug	Secondly, when I'm typing a message I can't see what I'm typing.
comment	I just want to erase there message and there picture from the gallery.
request	I would like to be able to crop photos, move pictures around in a collage and have more filters.
meaningless	I heard from someone that if you write a long review, it will end up being ranked as helpful by google.
comment	It's not very time consuming or involved, but has the basics of catching Magikarp with different patterns, and training them to jump higher and higher to take on competitive leagues with other Magikarp.
bug	I am getting this annoying error of "Not Enough Storage: Error downloading offline translation files.
complaint	They should tell you that there will be other software loaded onto your computer, and you should have a chance to decline.
comment	Staff very helpful in dealing with my car as I had a very early morning departure.
meaningless	Pros
comment	It helps download almost any sites I wanted, Ustream, YouTube, Veoh, Facebook, and many more.
comment	Gorgeous evening meal on the rooftop watching the sunset.
comment	I've tried to use Eraser for two year now and finally the developer make the mistake of dising Windows 7 because his progrm won't work with it.
comment	Room size was sufficient for our needs.
complaint	The only bad thing is I wish you could do more in the game.
comment	It also had double doors that could open to internal courtyard and fresh air into the room.
comment	The staff were exceptional - extremely polite at reception including being walked and shown around the room.
comment	I appreciate how thorough this program is.
comment	have it on other computers and love it.
meaningless	Golden Freddy Muppre
comment	My wife and I have had the good fortune during our lives together to visit Paris on multiple occasions and stay at some of its most famous and finest hotels, but our recent experience at the Peninsula made the others seem inadequate in comparison.
comment	Nothing to complain about.
undetermined	Unless you're like me and just had to see how bad it really is ....
comment	It's one of the best i have seen.
meaningless	BEWARE!
comment	Great boutique hotel in a great location.
comment	good
complaint	It was nothing but confusion!
comment	Love this hotel, first of all it is beautiful, great little jazz bar, wonderful staff and concierge.
complaint	We phoned reception to tell them and the girl hung up without saying a word.
comment	Great staff, fantastic location!
bug	Also sometimes trying to upload a pic from another app, IG will state it doesn't support the file.
complaint	WiFi, occasion water issues
complaint	FREE VERSIONS ARE USELESS - I WOULD NEVER PURCHASE AN AVO PRODUCT.
comment	Lovely modern hotel, three minutes walk from Moulin Rouge.
request	It needs extra clothes like cowboy clothes and hat etc.
request	Could do with younger people looking after.
comment	The room was very spacious with a lounge area as well as big bathroom and closet.
meaningless	City centre ..
complaint	Every update makes this application worse.
complaint	Very cramp, difficult to walk trough it.
complaint	it cannot be install on laptop
meaningless	I mean ...
complaint	People getting up first and taking the sunbeds but not using them until much later in the day!
request	I would like it better if you can have a bank where you can store the free half off hint to use at a later time.
comment	Our room was incredibly spacious and the bathroom, in particular, was enormous (even by US standards).
comment	I will never return to this facility because of this.
comment	Windows cannot be open, a/c only
comment	Monitored by Google
complaint	also i had to wait to find a song for about 7 mins because the ads were loading...
comment	I win that one everytime I play for just a few minutes waiting for something.
complaint	The place did not have much buzz.
complaint	Hard Bed.
meaningless	when i setup a new windows7 64bit /
comment	The Drury hotels are one of my favorites...
complaint	Suck!!
comment	I believe that the best media player i have come across is Moovida.
comment	Upon arrival we were greeted with such warmth that we felt like locals.
comment	My wife and I have stayed at great properties (hotels, resorts, lodges, camps, etc) on every continent (Antarctica excluded as it does not offer overnight accommodations), and after several stays there, we have determined that Le Bristol is the greatest of them all.
comment	Early check-outs can avail of complimentary T/C and a Danish pastry.
comment	it is better if it had a cloud
complaint	Staff very slow at pool bar.
comment	You don't have to pay a penny, either.
comment	The El Palace Hotel was our treat for this vacation, and we weren't disappointed.
comment	Oh wow a great room.
complaint	Just awful , there was odor in the room and no housekeeping every day .
complaint	Perfect perfect sea view room, really enjoyed my stay here in Radisson Blu.
comment	We have stayed at this great hotel several times and the staff know us well.
comment	It seems to prevent spyware and viruses from getting through!
complaint	I don't know if I like this app anymore.
meaningless	We spent 3 nights here on our way to Italy for a cruise.
comment	Such a good app, I'm scared to use it thinking everyone has it!
meaningless	Maybe the author can make a fix for that?
comment	Minutes to Notre Dame.
comment	Absolutely fabulous welcome from [name], who made our holiday!
meaningless	We have been traveled with three more couples.
comment	The actual bed was very comfortable and we loved our undisturbed sleep with the ocean sounds in the background, it was just the getting on and off that was a problem for me.
complaint	The actual bed was very comfortable and we loved our undisturbed sleep with the ocean sounds in the background, it was just the getting on and off that was a problem for me.
comment	I always thought the idea of expressing your feelings with a yellow emoji was ludicrous.
comment	Works as declared, has some NVidia powered turbo mode.
comment	This is such a good game.
comment	Great ambience in this stylish hotel.
comment	Asking for a late check out was no problem.
complaint	You've updated the app to allow for posting multiple photos/videos in one post without creating a repost option for these types of posts.
request	You've updated the app to allow for posting multiple photos/videos in one post without creating a repost option for these types of posts.
complaint	Can't easily see contacts or share content from other apps.
comment	Food is good but overpriced - breakfast for 70$?!. The rooms are ok but not very charming and have hardly no athmosphere.
complaint	Food is good but overpriced - breakfast for 70$?!. The rooms are ok but not very charming and have hardly no athmosphere.
comment	You're not a small time app anymore!
comment	Several contacts with 'Service' ended in being told that Sodapdf 7 would resolve all the problems.
complaint	I asked her these details and got answers very hard..
request	Maybe continental breakfast could have been included in price.
complaint	The new look is probably the worst move they could have made.
complaint	Fair english skills and lack of training especially in the restaurants are not expected in a 5* resort.
meaningless	it was the only place they were left.
comment	Great room size, and the kids loved the indoor/outdoor pool.
complaint	Avoid.
meaningless	Karpe diem!
comment	And breakfast was also provided.
bug	It is always coming up with an error on booking.
comment	Lovely, helpful staff that were always smiling and helpful.
meaningless	everymorning.
comment	Can't believe how quickly it made all of these for every occasion!
comment	From the moment we arrived nothing was too much trouble, the staff were so friendly and extremely attentive.
bug	After running defraggler i am now unable to read anything off of the drive.
comment	it helps me to recover deleted photos.
complaint	WooGamble Browser!
complaint	Now with the new appearance it made it modern, ok, but modern does not mean better regarding features and ease of use.
comment	Now with the new appearance it made it modern, ok, but modern does not mean better regarding features and ease of use.
comment	Will definitely be back again!
complaint	Where does the licence fee go you have to wonder.
comment	I liked everything however, I would suggest that you put more umbrellas, such as, e.g. around the sun beds situated in the pool
request	I liked everything however, I would suggest that you put more umbrellas, such as, e.g. around the sun beds situated in the pool
comment	Room fine and very close to airport.
comment	The room was perfect with a separate sitting area.
comment	I really appreciate the fact that everyone at La Quinta appreciates our servicemen and treats them with the utmost respect.
comment	We didn't like the fact that our stay at Hevea, with the gracious & highly professional Hevea Villas Team had to come to an end.
comment	Nice breakfast and willing staff.
complaint	Beach side seafood restaurant was a depressed spot at night without any music compared to the next resort who had a DJ every night on the beach playing chill sunset House music, where we spent most sunsets.
complaint	Hotel needs an update.
comment	It is also very convenient with the Metro just minutes away.
comment	i have windows 10 i need excel from windows 7
complaint	Getting into and out of the parking garage took a while because it was on a lift.
comment	Today, I still play this game.
comment	Everything you need at your fingertips!
comment	I use the PhotoScape.
comment	I really like this software.
meaningless	It was our daughter's birthday while we were there and we were having difficulty trying to get a reservation at a specific restaurant she wanted to eat at.
comment	The previous Skype layout was exceedingly efficient.
comment	We booked the hotel online and had never been to Barcelona.
meaningless	Of service .
complaint	I've been sat next to a friend messaging another friend and it's telling me the friend I'm sat next to was last on Viber 20 mins ago (for example) when I know they weren't near their phone.
comment	The staff bent over backwards to accommodate and help us.
comment	Great location which means you can walk to most all the sights worth seeing.
request	The app would be a lot cooler if we could design our in clothes or mix and match outfits instead of having the pre made outfit choices.
comment	I just want to especially thank the young lady @ the front desk.
complaint	I also had to block my nose when I get to the shower booth.
meaningless	We visited Madrid with our 20y old son from 25th till 29th of May 2017.
comment	good gameplay
comment	easy to install programs and application.
complaint	Will never stay there again!
comment	It's in it early stages but I'm hoping as time progresses more features can be added to be interactive with the game and make more important choices.
comment	Staff were all very friendly and helpful.
comment	Loved the location and view.
comment	yes i did try password revealer a couple of times, But i could not get it to work
comment	it is the greatest game of the world
complaint	Very slow font desk and the support is very low to attain.
meaningless	We were in town for MLK weekend with my daughter and her friend.
comment	Location is superb.
comment	I love the game.
complaint	If i had to list a negative, I'd say that the ipod dock for sound system was for old iphone 4, not the newer plug and should probably be updated at some point.
meaningless	This was a short one night stay whilst I was in town in Barcelona.
comment	Just a short walk from moulin Rouge and Sacre Cor Cathedral.
comment	Great
meaningless	Stayed here for my partners birthday.
comment	IT Game Is best what play !
comment	I received some of my order and now im still waiting for the rest of my orders.
comment	Thumb up for their services.
meaningless	I thought this was odd however there was an event on at Nikki beach the same night so I figured there were in use elsewhere.
comment	:)
complaint	I hate it.
comment	Menu at Restaurant was average.
comment	Great way to guarantee continued gameplay, though!
comment	It's Amazing It Took My Breath Away!!!
comment	It's easy to get to two metro lines and near Taxi stands.
comment	Great place to meet for drinks with friends.
bug	It will play for 10 seconds or so then stop and keep buffering then just stop playing altogether.
comment	so good from 7.
complaint	As of this moment i have ordered and receved 3 seperate parts from other venders from hong kong from start to finish before they even prossesed my order.
meaningless	The odd BSOD, too.
complaint	I found the carpark eventually after driving around the block three times - and then had trouble locating it again on my departure.
complaint	1, the installer, asks me if i want to install software(I specifically clicked everything to stop it intalling third prty software and it does it anyway)
bug	1, the installer, asks me if i want to install software(I specifically clicked everything to stop it intalling third prty software and it does it anyway)
comment	The welcome at Reception is warm and helpful, whatever the time of day or night.
comment	Hunter is the best in it's category.
meaningless	install left 4 dead
comment	The hotel is decorated very nicely, and the staff at the hotel made our experience even more enjoyable.
meaningless	none.
meaningless	How late?
comment	Keep up the awesome work Google!
comment	best game
comment	After I did the only impressive aspect was the Login Screen.
complaint	After I did the only impressive aspect was the Login Screen.
complaint	It's stupid!
comment	This is not instagram or Facebook.
complaint	The beds were a little hard.
meaningless	From the app and the services provided.
comment	This boutique hotel has not only a great location but a team of staff to match.
request	Wish I could post to FB page
meaningless	On one app that is terrible I have seen a positive comment off of him.
comment	I love this app, I downloaded it a little while ago and I was surprised to find that unlike other music apps out there it actually allowed me to play the music I want when I want it, five stars all the way, if you're looking for a good music app then this is the one for you!
complaint	Room service meal sizes are very small, especially for men
comment	Fast download, easy browse.
comment	Normal game, you can play;)
complaint	I only ever use rte for toy show and I can't watch it!
comment	: I love Whatsapp!
comment	Very friendly staff and willing to serve but they do not get the detail right.
complaint	Very friendly staff and willing to serve but they do not get the detail right.
comment	Very helpful staff.
complaint	And I can't fix this unless I convert my Instagram back to a personal account.
meaningless	Not in any of the restaurants, bars or room service.
comment	this game is the best but it honestly its not working
complaint	this game is the best but it honestly its not working
meaningless	We stayed here 3 nights per our tour company itinerary.
comment	Not horrible, but not very memorable.
complaint	Now it has become unorganized and the most important issue is that we don't know the pattern it works upon.
comment	They went above and beyond to help us during our stay!!
comment	In my opinion everyone will download this game i
comment	This is a short review because it is a small, easy app that does exactly what it is intended to do, and nothing else.
meaningless	Pros:
meaningless	I arrived June 14th and left June 16th.
complaint	The room was a bit too hot and we heard a few other people say that too but apart from that it was a wonderful stay.
comment	The room was a bit too hot and we heard a few other people say that too but apart from that it was a wonderful stay.
complaint	Horrible program!!!!!!!!!!!
comment	This is an amazing hotel with the nicest staff.
meaningless	This is the pay off of being in the heart of the city.
complaint	It's very annoying & when it's constantly happening it appears quite insulting.
meaningless	ca.
complaint	And now I can't see the notifications tab from the 'Most recent' screen.
comment	Loved the bar and surrounding area for drinks.
complaint	Rooms and the entire hotel looks and feels old and unkept.
comment	Top marks.
complaint	This is a waste of pure great time in the awesome day we have.
complaint	Middle quality restaurant and very expensive for the region
comment	If you prefer slick modern interiors and infinity pools, this is not the place for you
complaint	If you prefer slick modern interiors and infinity pools, this is not the place for you
complaint	Looks really cheap, more like a hostel than a hotel.
complaint	Main pool area under renovation & closed.
complaint	The Price is rather high for what is offered.
comment	Don't bother with this place it's a waste of your money, there's way better around for the same price.
complaint	Don't bother with this place it's a waste of your money, there's way better around for the same price.
request	how to download Visual Studio for free?
comment	* Fast & 'light-weight'
complaint	I would appreciate a more Relaxing atmosphere when taking breakfast, as the Ladys there should be more discrete.
comment	best pc racing game ever so much to do there is even high jump darts etc where you eject your self from the car
comment	Contacts and notes transferred which i expected.
comment	The hotel really is faultless.
comment	Renovations underway - this property is dated.
complaint	Renovations underway - this property is dated.
request	It would be perfect if breakfast included in room rate.
complaint	Hotel is in desperate need for a renovation.
comment	I think pospro is totally underrated!
complaint	Limited options
request	Sofitel should consider using both restaurants for breakfast to make it more user friendly.
comment	Friendly service.
comment	You have to move piece by clicking in it & then click on other area
comment	it helps people alot with there music and alot of people enjoy listening to music
complaint	Sometimes it's good to be disruptive but this update really feels like a downgrade.
meaningless	Unfortunately, I didn't get to try it but intend to do so in the near future.
comment	I ran defraggler on my external hard drive which was functional and readable.
complaint	This spoilt the outlook on the beach side.
complaint	I have a lot of Problems on Classic NotePad for Batch Files,
comment	Staff were extremely helpful & friendly.
comment	The words do become more challenging as I progress along.
comment	This time, on the recommendation of a European colleague, I stayed at the Hotel Malte.
comment	Plenty of advice on where to eat and drink, made reservations for us and advised on where to visit.
comment	The LaQuinta In Columbus Dublin is a very nice hotel.
complaint	A bit unfortunate that they were remodelling the lobby at the time we stayed.
