tag	consumer_complaint_narrative
complaint	Absolument pas fiable: quand on copie un fichier, le CRC du fichier de destination n'est pas vérifié. En revanche, à la lecture, il est vérifié, mais non corrigé.
comment	on peut passer a travers les gens les poteaux, etc.
comment	Il est situé en face de La Pedrera (Casa Milà) au niveau de la cours intérieure et à 10minutes à pieds de la Sagrada Familia et à 5minutes de la Casa Battló...
comment	Propre, parking en pente mais parking quand même.
comment	J'ai aimé la situation de l'hôtel en plein centre d'un quartier animé.
complaint	C'est un peu l'usine surtout au petit déjeuner, ça ressemble plus à un hôtel de moyenne gamme qu'à un B&B.
comment	La salle de bain moderne, le petit déjeuner avec beaucoup de choix.
comment	une terrasse qui donne directement sur la mer avec Ile rousse juste en face
comment	Le personnel est super gentil
comment	Bon petit déjeuner
comment	Cet établissement ressemble plus à un hôtel qu'à un B&B C'est un peu l'usine surtout le matin.
complaint	Cet établissement ressemble plus à un hôtel qu'à un B&B C'est un peu l'usine surtout le matin.
complaint	L'emplacement est moyen aussi, loin du centre ville, au bord de la voie rapide.
meaningless	Accueil
comment	Logiciel vraiment efficace et qui nous accompagne au quotidien.
meaningless	situation géographique
comment	Petit-déjeuner délicieux et très copieux .
comment	Bien situé pas loin du centre et de la promenade
comment	Superbe application qui fonctionne vraiment très bien que du bonheur
comment	Atmosphère très agréable.
complaint	Pression de la douche à revoir
comment	C bien mais on peut pas avoir "Cute cute"pour afficher notre noms a la fin du musicaly c ke sur iphone
complaint	C bien mais on peut pas avoir "Cute cute"pour afficher notre noms a la fin du musicaly c ke sur iphone
comment	Bon accueil et le cachet de l'hôtel ne manque de rappeler l'époque victorienne de la ville.
complaint	Le wifi à du mal dans certaine chambre
bug	Impossible de recevoir les messages ni même de voir ceux qui ont été envoyés.
comment	Nous étions 5 dans une suite de 2 chambres avec petite cuisine.
complaint	Chambre et salle d'eau exigues
complaint	décidément, c'est du gachit !!!
complaint	Seul bémol, la recherche d'un hachtag se fait sur tout le site alors que parfois on a besoin de chercher que dans un seul blog
complaint	Impossible d'utiliser mon répertoire de contacts.
comment	Bien ce log sans plus.
complaint	C'est fatiguant !
comment	La vue est magnifique et l'environnement vierge de toute construction.
complaint	Les portes de chambres qui claquent lorsqu'on rentre ou sort de la chambre
comment	Le personnel est très aimable et se met en quatre pour vous renseigner ou vous rendre service.
comment	Surtout le petit déjeuner, très copieux, pour tous les goûts et bon.
comment	Nous avons occupé à 3 une suite junior à 3. L'espace est immense, le bow window avec guérison très agréable.
meaningless	PERSONNEL-SITUATION
complaint	Pas ambiance une ville sans aucun intérêt
comment	N'hésitez pas à choisir l'Hôtel Métropole.
comment	tres bon jeux avec choix varié d'arme cependant difficile a aquerir des armes spetial mais les armes d'origine ne sont pas mal non plus
complaint	tres bon jeux avec choix varié d'arme cependant difficile a aquerir des armes spetial mais les armes d'origine ne sont pas mal non plus
meaningless	Le restaurant adjacent à l'hotel
comment	très bon anti virus a recommander même pour débutants
comment	Excellente
complaint	les toilettes sont très étroites et la salle de bain un peu vétuste
comment	Le petit déjeuner irlandais TRES copieux, la gentillesse du personnel et la situation géographique à 10 mn en bus du centre-ville de Cork avec un arrêt juste devant le bâtiment.
comment	Grandes possibilités.
comment	Situation a cote parc universitaire et a 10 mn a pied du centre ville
comment	Le service, la qualité sont au rendez-vous.
complaint	Aucune traduction en français
comment	J'utilise ce logiciel de montage pour mes let's play depuis maintenant plus de deux ans.
meaningless	On a resté deux nuits dans cet hotel.
undetermined	c'est dommage mais sinon tout est parfait.
comment	cool ce truck est trop cool
meaningless	Parking privatif
comment	Le proprio, nous présente également la ville et les particularités du marathon (but initial de notre voyage)
comment	1er séjour dans cet hôtel et très bonne expérience.
complaint	Notre chambre donnait sur la rocade avec en plus le bruit des voitures
comment	meilleur jeu de bagnole
complaint	Si vous réservez la vous n êtes pour autant pas certain d y dormir..
request	pouver vous m'aider, car je cherhce les numero de telephone de cyberlink merci de me le comuniquer s.v.p
comment	Autre point positif, sa situation géographique parfaite, en plein centre de Chamonix.
comment	Si on nous avons passé un bon week end dans cet hôtel.
comment	Personnel accueillant, proximité du CV à 10 mn à pied, calme, parking disponible
complaint	Essayer de régler sa au plus vite svp ça fais 2 ou 3 mois que je les reçois plus !
comment	Bien placé, chambres spacieuse, propres, rien à dire de ce coté là.
complaint	Après une installation forcée de cette application afin d'accéder à nos messages, facebook nous livre une application non exempte de bug malgré les mises à jours régulières.
meaningless	Le parking
comment	Nous avons été charmé par cette demeure qui est en un seul mot: MAGNIFIQUE.
meaningless	une nuit du 27 au 28 mais 2017
comment	le parking à disposition
complaint	la difficulté pour y accéder car l'établissement est situé sur une route à 4 voies impossible à traverser.
complaint	Mauvais entretien de tout l'établissement ( barre douche rouillée, baignoire déglinguée.
complaint	Une piscine toute petite, mais là aussi sans vie, pas de bar, pas un fond de musique...
meaningless	que demander de plus ?
complaint	Pomme de douche qui ne va pas avec l'hôtel, la baie vitrée cassé et le bruit de la route.
complaint	Pas de connexion wifi gratuite, un comble en 2014.
comment	Nous avons passé un merveilleux moment tout était parfait !
complaint	Très mauvais.
meaningless	Parking privé.
complaint	Petit déjeuner continental pas à la hauteur.
comment	J'adore les Sims, mais en favori je préfère es Sims 3 !
comment	C super cool mais le français svp
request	C super cool mais le français svp
complaint	je l'ai téléchargé mais pfff ça marche , incompatible avec Windows 7 , vraiment dommage car j'en ai besoin de ce genre de logiciel :(
comment	Hôtel possédant 3 restaurants et un grand jardin.
comment	Jai tro aimé xa
comment	Très belles chambres, vastes, lumineuses et confortables.
comment	bien situé visite de Bordeaux peut se faire sans utilisé son véhicule.
comment	j'utilise regcleaner sous vista,il y a une petite manip a faire et trés facile.
comment	J'adore instagram qui me permet de me promener dans le monde entier et de voir des paysages fantastiques en restant dans mon fauteuil
comment	Nous avons adoré notre séjour de 3 nuits dans cet établissement.
comment	Très bon accueil et petit déjeuner, bon emplacement pour accéder à pied en centre ville, parking privé dans la cour
comment	Donc sa va bien même si je ressens un peu de ressemblance avec instagram avec l'interface
comment	Très bon breakfast.
comment	Nous avons aimé l'accueil, le lieu atypique
comment	Déco parfaite.
comment	Bon
comment	L'erreur de chambre a très vite était prise en charge et rétabli.
meaningless	- isolation phonique quand il y a les gamins qui font la java à 2h00 du mat...
meaningless	Le manque d'éducation de certains clients a renforcé cette nuisance (conversations à haute voix dans le couloir)
comment	Magnifique lieu, incroyable moment, super offre.
complaint	Un peu éloigné du centre et forte montée pour y accéder à pied.
complaint	pas de connection wifi dans les chambres et aucune information à l'arrivée pour avoir accès à une connexion depuis l'hôtel.
comment	Nous sommes venus à l'occasion d'un mariage pour deux nuits dans ce très charmant hôtel.
comment	J'utilise Instagram depuis assez longtemps et c'est un bon réseau social je trouve, mais ça fait 1 mois que la fonction "Boomerang" beugue (la fin s'accélère beaucoup trop) alors que c'est ce que je préfère utiliser dans ma story ...
bug	J'utilise Instagram depuis assez longtemps et c'est un bon réseau social je trouve, mais ça fait 1 mois que la fonction "Boomerang" beugue (la fin s'accélère beaucoup trop) alors que c'est ce que je préfère utiliser dans ma story ...
comment	Notre chambre était très agréable et spacieuse.
comment	L'emplacement de l'hotel est ideal pour aller ensuite au centre ville a pied.
comment	Heureusement il n'y a pas eu d'arrivée dans la nuit.
complaint	Restaurant à éviter; le cuisinier est à limoger...
comment	Après son utilisation, j'ai trouvé une entière satisfaction.
comment	cool il est bien moi l'ancien ramais comme chais pas quoi la ces beaucoup mieux
complaint	Les bulles de conversation apparaissent et disparaissent qqu secondes plus tard même si on est en train d écrire un message
complaint	ça m'arrete pas de se fermer alors que je suis en train d'ecrire,sa ne signale plus tout les mesages et si je pars de facebook sa bloque......
comment	Merci ABP !
comment	je le trouve rapide et très bon je félicite toute l'équipe.
comment	j'avais demandé une chambre triple et nous avons obtenu une double et une simple.
complaint	L'emplacement n'est vraiment pas optimum et notre chambre quadruple était austère avec une salle de bain spartiate.
comment	A recommander pour un moment de qualité à Madrid
comment	Prêt de peignoir,sandales
complaint	Moquettes et peintures usées, l'hôtel aurait besoin d'être rafraîchie.
complaint	Pourri dès le téléchargement, modules qui ne se téléchargent pas, obligé de recommencer 3 fois, etc.
comment	Bonne literie et petit déjeuner copieux
comment	merci beaucoup pour ce logiciel je l'adore vraiment merci
meaningless	http://www.youtube.com/watch?v=l3XNt4lVTxE
complaint	Salle de bain très petite qui mériterait quelques rénovations.
comment	L'hôtel est proche de tout et facile d'accès par tous les moyens de transport.
comment	Le petit déjeuner propose un bon choix de produits dans un cadre agréable.
complaint	Nettoyage discutable.
comment	Petit déjeuner très bien.
meaningless	La propreté, l'accueil, le parking, les équipements (chambre et SDB).
comment	La cuisine de l hôtel est très bonne.
comment	Une présence humaine discrète et efficace.
comment	Personnel charmant.
comment	Location un peu eloignee du centre ville mais ca allait quand meme, a 10-15 minutes a pied.
complaint	Location un peu eloignee du centre ville mais ca allait quand meme, a 10-15 minutes a pied.
comment	Petit hôtel très pratique et au personnel fort aimable .
complaint	Dans celle-ci, la télécommande de la télé était broyée, la tablette du chevet manquait, la porte rafistolée.
comment	Microsoft Security Essentials est parfait !
complaint	Il manque un groupe de musique de temps en temps le soir au bar pour une animation sympa!!!
comment	A proximité des transports publics.
comment	L'accueil est parfait
complaint	Mauvaise insonorisation vis-à-vis de la réception et de la machine à café à disposition, la chambre étant située juste en face de la réception.
comment	Bien
comment	Mais je dirais que ces mieux que Facebook, quand même et plus accueillant et jolie page...
comment	Super simple d'emploi et très bien fait.
comment	Petit déjeuner copieux et personnel attentionné.
comment	Excellent séjour.
comment	Libre office est un très bon logiciel pour faire des lettre ou autre.
comment	Le lit était super confortable
comment	J'en suis fan.
comment	Personnel très professionnel, toujours prêt à vous aider pour rendre votre séjour parfait.
comment	bel endroit
complaint	Miroirs places pour des nains salle de bain vétuste.
comment	Petit déjeuner très varié et délicieux.
comment	Accueil chaleureux.
comment	Petit Dejeuner varié et café et bon thé avec viennoiseries à disposition tout le jour
comment	Chambre familiale très confortable et très bons lits.
complaint	apres l'avoir instalé j'ai des erreur les mises a jours ne se font pas .
complaint	Je n'arrive à télécharger qu'un simple fichier d'ailleurs impossible à ouvrir car de format totalement inconnu.
comment	La chambre spacieuse et la qualité de la literie .
comment	Vous avez surement jouer au ancien
complaint	Hotel un peu loin de l hyper centre et situé en hauteur.
comment	Bons produits.
bug	Dernière mise à jour faite à l'instant, et là impossible de lire les vidéos.
complaint	Petite chambre vieillotte pas confortable, ,literie à changer .
comment	La directrice et le personnel sont très dévoués et attentionnés.
comment	J'aime bien mais le problème c'est que sur androïde on a pas les même capacités que sur iPhone exemple:avoir deux music.ly de côté l'écran ce retourne à la fin du coup j'ai installé musical.
complaint	J'aime bien mais le problème c'est que sur androïde on a pas les même capacités que sur iPhone exemple:avoir deux music.ly de côté l'écran ce retourne à la fin du coup j'ai installé musical.
comment	La chambre est très bien agencée (voir photos sur site de l’hôtel) .
comment	Le restaurant est peut être un poil décevant, tout comme le petit déjeuner, on s'attendrait à un menu plus diversifié. Accueil sympathique.
comment	Lit confortable, bon petit dejeuner, bon emplacement, bouilloire a disposition.
complaint	Je ne compte même plus le nombre de fois où l'application plante
complaint	Le chauffage bruyant par momemt
complaint	La position de la chambre trop proche de la salle du breakfast (N°3)
comment	😍😍😍😍😍😍😘
meaningless	A première vue s est monnaie courante dans cet établissement..
comment	La proximité de la ville.
comment	Bon.
comment	Je suis client Pinnacle depuis plusieurs années
complaint	C'est un peu l'usine, c'est plus un hôtel qu'un B&B, la personne qui nous a accueilli courrait de partout et nous a plus ou moins expédié dans notre chambre.
complaint	Très bruyant insonorisation très mediocre
comment	Séjour extra, tout était parfait.
comment	logement joli et très propre - mise à disposition literie et linge de toilette, accessoires nettoyage, vraiment appréciable !
comment	Une bonne adresse, je recommande.
bug	sa dit (veuillez recommencer) et blabla!
comment	Vue sur le port de commerce.
comment	Malgré le grand nombre de chambre, la qualité n’est en rien sacrifiée.
meaningless	sa localisation, le parking
comment	Accueil chaleureux et agréable, très belle chambre (manque juste quelques produit d’accueil de première nécessité : coton tige, savonnette,), Spacieuse
complaint	Accueil chaleureux et agréable, très belle chambre (manque juste quelques produit d’accueil de première nécessité : coton tige, savonnette,), Spacieuse
comment	Le petit déjeuner gourmand et varié.
complaint	Le téléchargement s'est effectué normalement mais impossible d'ouvrir le logiciel.
meaningless	cloche qui sonne la nuit
comment	Une position ideale pour profiter de la Corse du sud, Ajaccio, Bavella, Bonifacio a 1h de route, Porto Vecchio un peu plus loin.
comment	Accessible, Très proche de l'aéroport et de la ville.
meaningless	Janvier 2017 ...
comment	3,9etoiles
comment	Chambre 311 confortable, SDB avec douche à l'italienne et produits complets, TV avec toutes les chaînes TNT françaises et chaînes étrangères, Wifi rapide et sans déconnections, cafetière et théière à disposition.
comment	merci
comment	-le tampon indispensable
complaint	Enfin au final établissement un peu cher à comparer du reste de notre séjour !
comment	Nous avons était accueilli par le manger, très pro et sympatique.
complaint	circulation pédestre pas très agréable
comment	Personnel agréable.
comment	Le personnel est chaleureux, aux petits soins, la déco baroque se veut chic et épurée et les chambres sont très confortable.
comment	je l'utilise souvent dans mon lieu de travail mais malheureusement pas sur mon pc personnel.
complaint	Le parking trop petit (une dizaine de places), nous avons dû nous garer sur un parking payant à nos frais.
comment	Le petit déjeuner était parfait.
complaint	Le hôtel est sur une nationale ou passent des voitures et des poids lourds même la nuit.
meaningless	Situation.
comment	Ma famille et moi même avons eu le plaisir de découvrir cet hôtel sympathique.
comment	Super, j'avais pleins de pub sur http://bit.ly/1NhGwBr
complaint	C'est pratique mais la qualité est mauvaise :( je ne peux pas faire de capture car on ne voit rien.
comment	Nous avons passé trois jours agréables dans cet établissement.
complaint	Rue bruyante
complaint	Pas d'accompagnement en chambre.
comment	Cet hôtel est à proximité de tous les points principaux de Bordeaux.
complaint	Il laisse passer tout et grille votre ordinateur a petit feu.
complaint	J'attendais aussi un hammam ou un bain à remou.
comment	Grace à ce logiciel, nous pouvons jouer en réseau via internet à une multitude de jeux.
comment	établissement calme
comment	Super !
comment	J'avais la chambre pour deux nuits et j'étais tout seul.
comment	Si vous ne arriver pas à avoir les options des dernières mises à jour et que vous avez un Samsung, il suffit juste de se déconnecter puis de se reconnecter.
comment	c'est un très bon jeu
comment	Super séjour
comment	La chambre spacieuse, grand lit et tous les équipements nécessaires.
comment	Très bien insonorisé.
comment	Le calme de l'endroit la sympathie du personnel et évidemment le petit déjeuner irlandais
complaint	très cher pour des chambres vieillottes,minuscules sans aucun confort.
comment	excellent petit dejeuner.
comment	L'hôtel dispose d'une bonne situation géographique, la décoration contemporaine est très réussie que ce soit pour le bar/salon où les chambres.
comment	Chambre familiale spacieuse avec balcon et vue sur mer.
comment	pas de piscine dans l'hotel mais à 5 mn de voiture.
comment	établissement tranquille .
comment	Le chocolat chaud dans la chambre et la vue dégagée extraordinaire et le petit déjeuner ultra complet exceptionnel
comment	conseil , demander chambre coté jardin .
complaint	Ce processus me fait perdre du temps.
comment	La localisation de cet hôtel permet de visiter Madrid à pieds.
meaningless	A oui c'est lui
comment	Hate d'y revenir
comment	Un site plein de charme, un patron convivial accueillant et de très bon conseil.
comment	Le confort de la chambre, la douche, le buffet du petit déjeuner.
comment	Je trouve cette application est parfaite.
request	pourquoi le format (dvd) est en format vcd ???
complaint	La chambre d'hôte qui fait plus hôtel 24 chambres se trouve un peu loin de tout et super mal déservi pour se rendre à Cork Bus tous les 30 min
comment	Les lits etaient grands, la salle de bain tres moderne.
comment	L'emplacement et la grandeur de la chambre.
comment	Chambre et salle de douche parfaite, Propre (ménage tous les jours), au calme comme demandé lors de notre réservation.
complaint	Odeur de peinture dans la chambre.
comment	On a apprécié la piscine et le spa.
comment	je recommande fortement !
comment	C'est super et si quelqu'un ne c'est utiliser musical.ly venez regarder sur mon compte😘 ,mon compte [name]
meaningless	Mais il y'a une truc...
bug	Des que je partage quelque chose sur messenger je reçois un msg pour me prévenir que celui ci n'est pas envoyé!
complaint	Nul je le déconseille vraiment c'est vraiment nul à chier ce n'est qu'un pseudo messenger Nul
comment	La literie est vraiment top pour une nuit reposante.
comment	Gardez la précédente qui était parfaite.
comment	Je le recommence à 100% !
comment	le personnel d'accueil ne parle pas du tout le français.
comment	Des installations de qualités ( piscine et fitness).
comment	Parking privé appréciable.
comment	Eviter absolument la chambre 119 avec vue sur évacuation d'air et le bruit en plus toute la nuit
complaint	Eviter absolument la chambre 119 avec vue sur évacuation d'air et le bruit en plus toute la nuit
comment	enfin la réception, l'accueil et le service est au niveau d'un 4 étoiles.
comment	52€ entrée+plat+ dessert
comment	Très bon séjour : excellent accueil avec un service de voiturier bien agréable .
comment	Attention aux pers à mobilité réduite si chambre a l étage.
comment	Un hôtel vraiment sympathique: notre chambre était très spacieuse, tout comme la salle de bain.
meaningless	Ange Michel Oulai
comment	Le service est absolument parfait, discret et attentionné.
bug	Comment se fait que tu chat avec quelqu'un mais on affiche vu depuis 2 jrs!
comment	Les pigeons squattent les rebords de fenêtre !
comment	Vegas pro est un logiciel que moi personnellement j’apprécie.
complaint	Trop de bruit et les murs de notre salle de bain étaient humides
comment	Possibilité de visiter l île rousse et calvi dans une même journee.
comment	Super jardin.
comment	Tout etait parfait et l arret de bus devant l hôtel cela est super pour profiter des PUB
complaint	Ambiance très impersonnelle.
comment	Photoscape est pour moi un bon outils de retouche/traitement photo pour débutants.
complaint	État général en dégradation
comment	Rien ne manque dans la chambre.
comment	j'ai eu différentes versions de pinnacle et le SAV est NUL ARCHI NUL
comment	Bonne insonorisation des chambres qui sont confortables.
comment	Nous y retournerons volontiers.
comment	super hôtel accueil très agréable gentillesse du personnel très serviable à l'écoute des clients , le service en chambre est parfait et très propre, rien à redire, literie très confortable, délicate attention pour le set café dans la chambre merci
comment	peut être une hôtesse parlant un peu le français,mais vraiment tout était parfait
complaint	peut être une hôtesse parlant un peu le français,mais vraiment tout était parfait
comment	De plus le quartier est très agréable.
